particulars,posting_date,cost_center,voucher_type,debit,credit,net_balance
Settlement Value for 2017193,2017-10-11,NSE-EQ - Z,Book Voucher,40.715,0,-20.92
DP Charges for 11/10/2017,2017-10-11,NSE-EQ - Z,Journal Entry,15.93,0,-36.85
Settlement Value for 2017194,2017-10-12,NSE-EQ - Z,Book Voucher,0,648.043,611.193
DP Charges for 13/10/2017,2017-10-13,NSE-EQ - Z,Journal Entry,15.93,0,595.263
Settlement Value for 2017195,2017-10-13,NSE-EQ - Z,Book Voucher,287.538,0,307.725
Settlement Value for 1718135,2017-10-13,BSE-EQ - Z,Book Voucher,298.582,0,9.143
DP Charges for 16/10/2017,2017-10-16,NSE-EQ - Z,Journal Entry,15.93,0,-6.787
Settlement Value for 2017196,2017-10-16,NSE-EQ - Z,Book Voucher,0,100.487,93.7
Settlement Value for 1718136,2017-10-16,BSE-EQ - Z,Book Voucher,76.019,0,17.681
Settlement Value for 2017197,2017-10-17,NSE-EQ - Z,Book Voucher,28.015,0,-10.334
DP Charges for 17/10/2017,2017-10-17,NSE-EQ - Z,Journal Entry,15.93,0,-26.264
Settlement Value for 2017200,2017-10-23,NSE-EQ - Z,Book Voucher,832.65,0,-858.914
Settlement Value for 1718140,2017-10-23,BSE-EQ - Z,Book Voucher,0,887.164,28.25
Settlement Value for 2017201,2017-10-24,NSE-EQ - Z,Book Voucher,27.745,0,0.505
DP Charges for 24/10/2017,2017-10-24,BSE-EQ - Z,Journal Entry,15.93,0,-15.425
Settlement Value for 2017202,2017-10-25,NSE-EQ - Z,Book Voucher,135.319,0,-150.744
Settlement Value for 1718142,2017-10-25,BSE-EQ - Z,Book Voucher,0,147.246,-3.498
DP Charges for 25/10/2017,2017-10-25,NSE-EQ - Z,Journal Entry,15.93,0,-19.428
DP Charges for 26/10/2017,2017-10-26,NSE-EQ - Z,Journal Entry,15.93,0,-35.358
DP Charges for 26/10/2017,2017-10-26,NSE-EQ - Z,Journal Entry,15.93,0,-51.288
DP Charges for 26/10/2017,2017-10-26,BSE-EQ - Z,Journal Entry,15.93,0,-67.218
Settlement Value for 2017205,2017-10-30,NSE-EQ - Z,Book Voucher,0,284.71,217.492
Being amount received fromX-IGACGWIFU6 through NEST Payment Gateway,2017-10-30,NSE-EQ - Z,Bank Receipts,0,2000,2217.492
Settlement Value for 1718145,2017-10-30,BSE-EQ - Z,Book Voucher,172.325,0,2045.167
Being Payment Gateway Charges Debited -X,2017-10-30,NSE-EQ - Z,Journal Entry,10.62,0,2034.547
Settlement Value for 2017206,2017-10-31,NSE-EQ - Z,Book Voucher,1158.177,0,876.37
Settlement Value for 1718146,2017-10-31,BSE-EQ - Z,Book Voucher,302.58,0,573.79
DP Charges for 01/11/2017,2017-11-01,NSE-EQ - Z,Journal Entry,15.93,0,557.86
Settlement Value for 2017207,2017-11-01,NSE-EQ - Z,Book Voucher,415.425,0,142.435
Settlement Value for 1718147,2017-11-01,BSE-EQ - Z,Book Voucher,0,268.056,410.491
DP Charges for 02/11/2017,2017-11-02,NSE-EQ - Z,Journal Entry,15.93,0,394.561
Settlement Value for 2017208,2017-11-02,NSE-EQ - Z,Book Voucher,243.986,0,150.575
Settlement Value for 2017209,2017-11-03,NSE-EQ - Z,Book Voucher,0,0.386,150.961
Settlement Value for 1718149,2017-11-03,BSE-EQ - Z,Book Voucher,34.054,0,116.907
DP Charges for 06/11/2017,2017-11-06,NSE-EQ - Z,Journal Entry,15.93,0,100.977
DP Charges for 06/11/2017,2017-11-06,NSE-EQ - Z,Journal Entry,15.93,0,85.047
Being amount received fromX-IGACIFHMN5 through NEST Payment Gateway,2017-11-07,NSE-EQ - Z,Bank Receipts,0,4000,4085.047
Settlement Value for 2017211,2017-11-07,NSE-EQ - Z,Book Voucher,4025.658,0,59.389
Settlement Value for 1718151,2017-11-07,BSE-EQ - Z,Book Voucher,48.722,0,10.667
Being Payment Gateway Charges Debited -X,2017-11-07,NSE-EQ - Z,Journal Entry,10.62,0,0.047
Settlement Value for 2017213,2017-11-09,NSE-EQ - Z,Book Voucher,0,32.714,32.761
Settlement Value for 1718153,2017-11-09,BSE-EQ - Z,Book Voucher,0.741,0,32.02
DP Charges for 10/11/2017,2017-11-10,NSE-EQ - Z,Journal Entry,15.93,0,16.09
DP Charges for 10/11/2017,2017-11-10,NSE-EQ - Z,Journal Entry,31.86,0,-15.77
Settlement Value for 2017215,2017-11-13,NSE-EQ - Z,Book Voucher,0,1363.495,1347.725
Settlement Value for 1718155,2017-11-13,BSE-EQ - Z,Book Voucher,409.464,0,938.261
DP Charges for 14/11/2017,2017-11-14,NSE-EQ - Z,Journal Entry,15.93,0,922.331
DP Charges for 14/11/2017,2017-11-14,NSE-EQ - Z,Journal Entry,15.93,0,906.401
DP Charges for 14/11/2017,2017-11-14,NSE-EQ - Z,Journal Entry,47.79,0,858.611
DP Charges for 14/11/2017,2017-11-14,NSE-EQ - Z,Journal Entry,15.93,0,842.681
Settlement Value for 2017216,2017-11-14,NSE-EQ - Z,Book Voucher,0,196.909,1039.59
Settlement Value for 1718156,2017-11-14,BSE-EQ - Z,Book Voucher,0,28.89,1068.48
Settlement Value for 2017217,2017-11-15,NSE-EQ - Z,Book Voucher,416.553,0,651.927
Settlement Value for 1718157,2017-11-15,BSE-EQ - Z,Book Voucher,78.437,0,573.49
DP Charges for 15/11/2017,2017-11-15,NSE-EQ - Z,Journal Entry,15.93,0,557.56
DP Charges for 15/11/2017,2017-11-15,BSE-EQ - Z,Journal Entry,15.93,0,541.63
Settlement Value for 2017218,2017-11-16,NSE-EQ - Z,Book Voucher,474.941,0,66.689
Settlement Value for 1718158,2017-11-16,BSE-EQ - Z,Book Voucher,77.987,0,-11.298
DP Charges for 17/11/2017,2017-11-17,NSE-EQ - Z,Journal Entry,15.93,0,-27.228
Settlement Value for 1718159,2017-11-17,BSE-EQ - Z,Book Voucher,0,30.274,3.046
Settlement Value for 2017220,2017-11-20,NSE-EQ - Z,Book Voucher,0,44.384,47.43
DP Charges for 20/11/2017,2017-11-20,BSE-EQ - Z,Journal Entry,15.93,0,31.5
DP Charges for 21/11/2017,2017-11-21,NSE-EQ - Z,Journal Entry,15.93,0,15.57
Settlement Value for 2017223,2017-11-23,NSE-EQ - Z,Book Voucher,9.028,0,6.542
Settlement Value for 2017224,2017-11-24,NSE-EQ - Z,Book Voucher,0,162.453,168.995
Settlement Value for 1718164,2017-11-24,BSE-EQ - Z,Book Voucher,130.173,0,38.822
DP Charges for 24/11/2017,2017-11-24,NSE-EQ - Z,Journal Entry,15.93,0,22.892
DP Charges for 27/11/2017,2017-11-27,NSE-EQ - Z,Journal Entry,31.86,0,-8.968
Settlement Value for 2017225,2017-11-27,NSE-EQ - Z,Book Voucher,0,17.126,8.158
DP Charges for 28/11/2017,2017-11-28,NSE-EQ - Z,Journal Entry,15.93,0,-7.772
DP Charges for 28/11/2017,2017-11-28,NSE-EQ - Z,Journal Entry,31.86,0,-39.632
Settlement Value for 1718166,2017-11-28,BSE-EQ - Z,Book Voucher,31.802,0,-71.434
Settlement Value for 1718167,2017-11-29,BSE-EQ - Z,Book Voucher,0,30.423,-41.011
Being amount received fromX-IGACLTMRU2 through NEST Payment Gateway,2017-11-30,NSE-EQ - Z,Bank Receipts,0,1500,1458.989
DP Charges for 30/11/2017,2017-11-30,BSE-EQ - Z,Journal Entry,15.93,0,1443.059
Being Payment Gateway Charges Debited -X,2017-11-30,NSE-EQ - Z,Journal Entry,10.62,0,1432.439
Settlement Value for 2017229,2017-12-01,NSE-EQ - Z,Book Voucher,77.721,0,1354.718
Settlement Value for 2017230,2017-12-04,NSE-EQ - Z,Book Voucher,986.412,0,368.306
Settlement Value for 2017231,2017-12-05,NSE-EQ - Z,Book Voucher,338.146,0,30.16
Settlement Value for 2017232,2017-12-06,NSE-EQ - Z,Book Voucher,4.932,0,25.228
DP Charges for 07/12/2017,2017-12-07,NSE-EQ - Z,Journal Entry,15.93,0,9.298
Settlement Value for 2017235,2017-12-11,NSE-EQ - Z,Book Voucher,3.317,0,5.981
Settlement Value for 1718175,2017-12-11,BSE-EQ - Z,Book Voucher,0,29.138,35.119
DP Charges for 12/12/2017,2017-12-12,NSE-EQ - Z,Journal Entry,15.93,0,19.189
DP Charges for 12/12/2017,2017-12-12,NSE-EQ - Z,Journal Entry,15.93,0,3.259
DP Charges for 12/12/2017,2017-12-12,BSE-EQ - Z,Journal Entry,15.93,0,-12.671
Settlement Value for 2017238,2017-12-14,NSE-EQ - Z,Book Voucher,300.243,0,-312.914
Being Payment Gateway Charges Debited -X,2017-12-14,NSE-EQ - Z,Journal Entry,10.62,0,-323.534
Being amount received fromX-IGACNSFFL0 through NEST Payment Gateway,2017-12-14,NSE-EQ - Z,Bank Receipts,0,2000,1676.466
Settlement Value for 2017243,2017-12-21,NSE-EQ - Z,Book Voucher,2121.546,0,-445.08
Settlement Value for 1718183,2017-12-21,BSE-EQ - Z,Book Voucher,0,564.105,119.025
DP Charges for 22/12/2017,2017-12-22,BSE-EQ - Z,Journal Entry,15.93,0,103.095
DP Charges for 22/12/2017,2017-12-22,NSE-EQ - Z,Journal Entry,15.93,0,87.165
Settlement Value for 2017248,2017-12-29,NSE-EQ - Z,Book Voucher,25.763,0,61.402
DP Charges for 01/01/2018,2018-01-01,NSE-EQ - Z,Journal Entry,15.93,0,45.472
DP Charges for 01/01/2018,2018-01-01,NSE-EQ - Z,Journal Entry,15.93,0,29.542
Settlement Value for 2018002,2018-01-02,NSE-EQ - Z,Book Voucher,0,220.022,249.564
Settlement Value for 1718190,2018-01-02,BSE-EQ - Z,Book Voucher,182.138,0,67.426
DP Charges for 03/01/2018,2018-01-03,NSE-EQ - Z,Journal Entry,15.93,0,51.496
Settlement Value for 2018005,2018-01-05,NSE-EQ - Z,Book Voucher,3758.587,0,-3707.091
Settlement Value for 1718193,2018-01-05,BSE-EQ - Z,Book Voucher,200.21,0,-3907.301
Being Payment Gateway Charges Debited -X,2018-01-05,NSE-EQ - Z,Journal Entry,10.62,0,-3917.921
Being amount received fromX-IGACQZEMX0 through NEST Payment Gateway,2018-01-05,NSE-EQ - Z,Bank Receipts,0,4000,82.079
Settlement Value for 2018010,2018-01-12,NSE-EQ - Z,Book Voucher,0,258.399,340.478
DP Charges for 15/01/2018,2018-01-15,NSE-EQ - Z,Journal Entry,15.93,0,324.548
DP Charges for 15/01/2018,2018-01-15,NSE-EQ - Z,Journal Entry,15.93,0,308.618
Settlement Value for 2018013,2018-01-17,NSE-EQ - Z,Book Voucher,132.523,0,176.095
DP Charges for 18/01/2018,2018-01-18,NSE-EQ - Z,Journal Entry,15.93,0,160.165
Settlement Value for 2018016,2018-01-22,NSE-EQ - Z,Book Voucher,46.931,0,113.234
DP Charges for 23/01/2018,2018-01-23,NSE-EQ - Z,Journal Entry,15.93,0,97.304
DP Charges for 23/01/2018,2018-01-23,NSE-EQ - Z,Journal Entry,15.93,0,81.374
Settlement Value for 2018026,2018-02-06,NSE-EQ - Z,Book Voucher,4837.346,0,-4755.972
Being Payment Gateway Charges Debited -X,2018-02-06,NSE-EQ - Z,Journal Entry,10.62,0,-4766.592
Being amount received fromX-IGACWAXGP1 through NEST Payment Gateway,2018-02-06,NSE-EQ - Z,Bank Receipts,0,5000,233.408
Being amount received fromX-IGADCRZGZ1 through NEST Payment Gateway,2018-03-15,NSE-EQ - Z,Bank Receipts,0,3000,2678.286
Settlement Value for 2018052,2018-03-16,NSE-EQ - Z,Book Voucher,1703.842,0,974.444
DP Charges for 16/03/2018,2018-03-16,NSE-EQ - Z,Journal Entry,15.93,0,958.514
DP Charges for 19/03/2018,2018-03-19,NSE-EQ - Z,Journal Entry,15.93,0,942.584
Settlement Value for 1718241,2018-03-19,BSE-EQ - Z,Book Voucher,2.332,0,940.252
Settlement Value for 2018053,2018-03-19,NSE-EQ - Z,Book Voucher,929.354,0,10.898
DP Charges for 20/03/2018,2018-03-20,BSE-EQ - Z,Journal Entry,15.93,0,-5.032
Being AMC charges towards Demat account—X,2018-04-07,NSE-EQ - Z,Journal Entry,91.18,0,-96.212
Being amount received fromX-IGADITCYQ1 through NEST Payment Gateway,2018-04-17,NSE-EQ - Z,Bank Receipts,0,5000,4903.788
Being payment gateway charges debited forX,2018-04-17,NSE-EQ - Z,Journal Entry,10.62,0,4893.168
Settlement value for April 17 -  2018 in NSE with settlement number 2018072,2018-04-17,NSE-EQ - Z,Book Voucher,2863.29,0,2029.878
Settlement value for April 19 -  2018 in NSE with settlement number 2018074,2018-04-19,NSE-EQ - Z,Book Voucher,1878,0,151.878
DP Charges for 20/04/2018,2018-04-20,NSE-EQ - Z,Journal Entry,15.93,0,135.948
Being amount received fromX-IGADLHXAW5 through NEST Payment Gateway,2018-05-03,NSE-EQ - Z,Bank Receipts,0,5000,5135.948
Being payment gateway charges debited forX,2018-05-03,NSE-EQ - Z,Journal Entry,10.62,0,5125.328
Settlement value for May 03 -  2018 in NSE with settlement number 2018083,2018-05-03,NSE-EQ - Z,Book Voucher,2713.132383,0,2412.195617
Settlement value for May 04 -  2018 in NSE with settlement number 2018084,2018-05-04,NSE-EQ - Z,Book Voucher,0,28.385364,2440.580981
Settlement value for May 07 -  2018 in NSE with settlement number 2018085,2018-05-07,NSE-EQ - Z,Book Voucher,2097.070977,0,343.510004
DP Charges for 07/05/2018,2018-05-07,NSE-EQ - Z,Journal Entry,15.93,0,327.580004
Settlement value for May 08 -  2018 in NSE with settlement number 2018086,2018-05-08,NSE-EQ - Z,Book Voucher,125.324311,0,202.255693
Being amount received fromX-IGADMKQMB4 through NEST Payment Gateway,2018-05-09,NSE-EQ - Z,Bank Receipts,0,3500,3702.255693
Being payment gateway charges debited forX,2018-05-09,NSE-EQ - Z,Journal Entry,10.62,0,3691.635693
Settlement value for May 09 -  2018 in NSE with settlement number 2018087,2018-05-09,NSE-EQ - Z,Book Voucher,1723.933722,0,1967.701971
Settlement value for May 10 -  2018 in BSE with settlement number 1819030,2018-05-10,BSE-EQ - Z,Book Voucher,0,733.225444,2700.927415
Settlement value for May 10 -  2018 in NSE with settlement number 2018088,2018-05-10,NSE-EQ - Z,Book Voucher,2096.684944,0,604.242471
Settlement value for May 11 -  2018 in NSE with settlement number 2018089,2018-05-11,NSE-EQ - Z,Book Voucher,493.317142,0,110.925329
DP Charges for 11/05/2018,2018-05-11,NSE-EQ - Z,Journal Entry,15.93,0,94.995329
DP Charges for 11/05/2018,2018-05-11,NSE-EQ - Z,Journal Entry,15.93,0,79.065329
DP Charges for 11/05/2018,2018-05-11,NSE-EQ - Z,Journal Entry,15.93,0,63.135329
